Call_Letters,City,State
SFO,San Francisco,CA
SEA,Seattle,WA
SDF,Louisville,KY
CUN,Cancun,Mexico
MIA,Miami,FL
MDW,Chicago,IL
TEB,Teterboro,NJ
LGA,New York City,NY
PHX,Phoeniz,AZ
